Species,Cougar1,Cougar2,Cougar3,Cougar4,Cougar5,Cougar6,Cougar7,Cougar8,Cougar9,Cougar10,Cougar11,Cougar12,Cougar13,Cougar14,Cougar15,Cougar16,Cougar17,Cougar18,Cougar19,Cougar20,Cougar21,Cougar22,Cougar23,Cougar24,Cougar25,Seward1,Seward2,Seward3,Seward4,Seward5,Seward6,Seward7,Seward8,Seward9,Seward10,Seward11,Seward12,Seward13,Seward14,Seward15,Seward16,Seward17,Seward18,Seward19,Seward20,Seward21,Seward22,Seward23,Seward24,SeattleU1,SeattleU2,SeattleU3,SeattleU4,SeattleU5,SeattleU6,SeattleU7,SeattleU8,SeattleU9,SeattleU10,SeattleU11,SeattleU12,SeattleU13,SeattleU14,SeattleU15,SeattleU16,SeattleU17,SeattleU18,SeattleU19,SeattleU20,SeattleU21,SeattleU22,SeattleU23,SeattleU24,SeattleU25
Springtails,24,53,43,13,111,70,60,30,20,26,93,22,87,10,27,36,23,28,15,23,18,33,55,34,55,0,0,0,6,23,0,16,11,28,42,61,22,37,27,20,13,5,27,7,5,24,61,64,21,89,3,8,14,143,43,9,4,0,0,8,22,17,44,7,47,31,33,8,7,70,58,83,4,6
Mites,9,79,13,6,126,56,14,8,10,2,76,80,53,61,13,28,34,27,24,23,6,143,89,134,39,15,10,24,18,63,27,22,3,65,24,49,13,15,14,22,36,10,67,46,197,18,16,44,14,64,46,102,23,85,65,131,53,5,1,103,25,614,264,101,20,28,34,33,41,30,35,51,9,5
Spiders,19,31,48,5,35,8,53,9,2,22,4,6,0,5,0,0,2,3,4,1,1,3,4,4,3,1,3,1,2,4,0,1,2,6,1,2,3,0,2,1,1,2,3,1,1,0,0,1,0,4,0,2,0,6,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1
Millipedes,1,4,6,2,3,2,5,0,16,2,0,2,0,0,0,1,0,2,0,2,1,1,1,3,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,3,42,0,5,2,3,0,0,0,0,2,3,0,0,11,0,0,0,0,0,0,2,1,1,1,2,9,0,2,0,0,2,1,0,1
Centipedes,0,2,1,7,5,1,1,0,0,2,2,1,5,0,0,0,1,3,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,5,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,4,0,2,1
Pseudo-Scorps,0,7,0,11,15,0,4,2,9,5,1,2,2,0,1,0,7,4,1,3,2,3,9,4,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,3,3,1,6,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beetles,1,0,1,1,8,0,1,0,0,0,2,0,0,2,0,0,0,1,1,0,1,0,0,1,5,0,2,1,0,0,5,0,0,0,2,1,3,1,0,4,2,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
Ticks,0,71,0,0,3,3,7,0,26,0,0,12,15,33,14,18,43,6,0,4,2,37,9,18,36,7,9,4,14,18,6,11,2,0,0,0,0,4,8,11,0,4,32,5,18,3,19,13,7,10,7,47,2,17,25,54,36,8,0,4,7,37,66,12,27,15,41,15,13,4,13,9,7,2
Pill bugs,3,0,1,0,10,3,3,6,2,3,4,10,0,0,0,0,0,27,2,2,9,0,3,2,2,1,4,0,1,3,0,2,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,3,1,0,1,3,6,0,0,0,0,13,1,0,0
Ants,0,1,0,2,1,0,2,1,0,0,1,4,1,0,0,0,3,0,0,1,0,0,0,0,0,5,0,0,0,6,0,0,0,2,0,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sawflies,0,2,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,2,3,0,10,0,2,1,0,2,0,3,2,0,2,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,3,6,1,3,0,0,0,1,0,0
Harvestmen,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0
Fleas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Termites,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,1,0,1,0,0
