Species,Cougar1,Cougar2,Cougar3,Cougar4,Cougar5,Cougar6,Cougar7,Cougar8,Cougar9,Cougar10,Cougar11,Cougar12,Cougar13,Cougar14,Cougar15,Cougar16,Cougar17,Cougar18,Cougar19,Cougar20,Cougar21,Cougar22,Cougar23,Cougar24,Cougar25,Cougar26,Cougar27,Cougar28,Cougar29,Cougar30,Seward1,Seward2,Seward3,Seward4,Seward5,Seward6,Seward7,Seward8,Seward9,Seward10,Seward11,Seward12,Seward13,Seward14,Seward15,Seward16,Seward17,Seward18,Seward19,Seward20,Seward21,Seward22,Seward23,Seward24,Seward25,Seward26,Seward27,Seward28,Seward29,Seward30,SeattleU1,SeattleU2,SeattleU3,SeattleU4,SeattleU5,SeattleU6,SeattleU7,SeattleU8,SeattleU9,SeattleU10,SeattleU11,SeattleU12,SeattleU13,SeattleU14,SeattleU15,SeattleU16,SeattleU17,SeattleU18
Springtails,3,0,0,4,1,2,5,7,6,8,7,5,5,0,6,8,9,2,4,3,5,6,4,6,4,2,2,6,5,13,14,6,5,5,3,3,12,48,23,24,9,4,18,15,12,35,10,43,37,79,0,3,3,11,6,57,19,0,8,21,5,5,4,11,25,10,1,2,7,7,1,2,10,6,1,9,16,29
Mites,24,11,9,58,36,49,15,22,12,33,17,21,19,124,136,72,31,60,47,78,51,5,9,22,32,7,4,56,75,119,19,11,6,32,17,20,42,18,117,35,12,31,47,20,24,59,8,27,26,38,14,10,8,13,12,28,17,7,19,52,33,25,30,17,9,12,11,28,13,94,119,229,11,21,11,42,24,41
Spiders,2,1,1,0,3,0,0,1,0,1,0,2,3,2,5,3,10,9,8,7,10,0,1,2,2,1,2,2,3,0,0,0,0,0,0,0,1,0,4,0,0,3,4,1,0,1,1,1,3,4,0,2,1,0,1,0,1,0,1,1,1,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Millipedes,7,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0
Centipedes,0,0,0,1,1,0,1,0,0,0,0,0,2,0,10,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0
Pseudo-Scorps,6,5,4,2,1,0,1,5,3,1,0,0,0,4,5,2,0,1,1,2,0,2,0,1,0,0,0,4,0,3,2,2,0,0,0,2,3,0,0,5,0,8,6,3,6,1,0,2,1,0,0,2,1,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beetles,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,5,0,1,0,0,1,0,0,0,0,3,3,2,1,1,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0
Ticks,16,5,9,185,13,2,1,12,0,2,0,0,3,10,16,3,8,0,3,3,1,0,1,0,3,0,0,0,4,17,0,0,0,0,0,0,3,0,0,6,0,3,4,58,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,0,0,0,0,0,2,0,23,7,8,5,4,4,4,7,3
Pill bugs,0,0,1,1,0,0,2,1,4,1,1,0,1,1,0,12,13,4,0,2,1,1,0,14,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,1,0,3,0,1,1,0,0,0,0
Ants,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,1,3,0,0,1,0,0,0,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
